SKU,Descripción,Stock
CR305E002,CONTACTOR T3 3P 30HP 100A 110V S/GAB,2
100A,ESLABON FUSIBLE ALTA TENSION 100 A 15KV,2
1A,ESLABON FUSIBLE ALTA TENSION 1A,1
ADOL3-230V-3.1A,ADOL3-230V-3.1A Arrancador en Gabinete P,13
AA5600,IS2 Porta documentos,4
AA9610-MX,OREJAS IZADORAS,66
ABBCG-T4-150,Conector Gemelo T4 150mm,1
ABBCG-T5-200,Conector Gemelo T5 200mm,4
ABBCG-XT1-100,Conector gemelo 100mm XT1  hasta 160A  i,2
ABBCG-XT3-150,CONECTOR GEMELO XT3 150mm,2
ABBCI-T6-250,CONECTOR INDIV.250MM T6 DE 1000A INCL.PA,2
ABBCI-T7-300,Conector individual 300mm T7  hasta 1600,2
ABBTCF-100,TAPA CIEGA FIJA 100MM,2
ABBTCF-200,PANEL O TAPA CIEGA  FIJA 200MM,8
ABBTCF-250,PANEL O TAPA CIEGA FIJA 250MM,2
ABBTLIPM-1250,Tmax Link  E1.2N 1250A  NEMA1  M4M LV,1
ABS103B-075,Int. Termomagnetico 75Amp,2
ABS203B-225,Int. Termomagnetico 225Amp,2
AB25B,"AB25B CAJA METALICA DE 25""",4
AB31B,"CAJA METALICA DE 31""",4
AB37B,"CAJA METALICA DE 37""",11
AB43B,"CAJA METALICA DE 43""",9
AB55B,"AB55B CAJA METALICA DE 55""",3
AB55KP,"CAJA METALICA DE 55""C/NOCK OUT",4
AB553,"CAJA METALICA DE 55""P/EXT.",1
AB64B,"CAJA METALICA DE 64""P",10
AB643,"CAJA METALICA DE 64""P/EXT.",1
AB76B,"CAJA METALICA DE 76""",3
AB763,"CAJA METALICA DE 76""P/EXT.",1
ACSR/AC795,C. desnudo ACSR / AS cal. 795 kcm,500
ACS880-01-021A-5,VFD 11kW  IN: 21A,1
ACS880-01-027A-5,ACS880-01-027A-5,1
ACS880-01-052A-5,ACS880-01-052A-5,1
ACS880-01-077A-5,ACS880-01-077A-5,1
ACS880-01-124A-5,ACS880-01-124A-5,1
ACS880-01-156A-5,ACS880-01-156A-5,1
ACS880-01-180A-5,ACS880-01-180A-5,1
ACS880-01-240A-5,ACS880-01-240A-5,1
ADF3121TBF,TABLERO 150A 3F 4H 12P C/PPAL EMPOTRAR,2
ADOL3-230V-10A,ADOL3-230V-10A Arrancador en Gabinete Pr,3
ADOL3-230V-13A,ADOL3-230V-13A Arrancador en Gabinete Pr,13
ADOL3-230V-16A,ADOL3-230V-16A Arrancador en Gabinete Pr,11
ADOL3-230V-20A,Arrancador 230V-20A Magnetico Conexion Directa a Linea,4
ADOL3-230V-2.3A,ADOL3-230V-2.3A Arrancador en Gabinete P,6
ADOL3-230V-24A,ADOL3-230V-24A Arrancador en Gabinete Pr,9
ADOL3-230V-29A,ADOL3-230V-29A Arrancador en Gabinete Pr,17
ADOL3-230V-3.1A,ADOL3-230V-3.1A Arrancador en Gabinete P,13
ADOL3-230V-4.2A,ADOL3-230V-4.2A Arrancador en Gabinete,5
ADOL3-230V-5.7A,ADOL3-230V-5.7A Arrancador en Gabinete P,10
ADOL3-230V-7.6A,ADOL3-230V-7.6A Arrancador en Gabinete P,6
ADOL3-460V-10A,ADOL3-460V-10A Arrancador en Gabinete Pr,15
ADOL3-460V-1.3A,ADOL3-460V-1.3A Arrancador en Gabinete P,19
ADOL3-460V-13A,ADOL3-460V-13A Arrancador en Gabinete Pr,20
ADOL3-460V-16A,ADOL3-460V-16A Arrancador en Gabinete Pr,23
ADOL3-460V-1.7A,ADOL3-460V-1.7A Arrancador en Gabinete P,21
ADOL3-460V-2.3A,ADOL3-460V-2.3A Arrancador en Gabinete P,12
ADOL3-460V-24A,Arrancador 460V-24A Magnetico Conexion D,20
ADOL3-460V-3.1A,ADOL3-460V-3.1A Arrancador en Gabinete P,21
ADOL3-460V-4.2A,ADOL3-460V-4.2A Arrancador en Gabinete P,24
ADOL3-460V-5.7A,ADOL3-460V-5.7A Arrancador en Gabinete P,17
AD1064,AD1064 Main Distribution Board,130
AD1088,K Cubre modulos 600mm 3pz,37
AD1097,L Soporte montaje Unifix H,2
AD1098,AD1098,33
AD3305,EMBELLECEDOR XT1 3P EN PLACA DE MONTAJE,4
AEM1430N,ARBOTANTE 8W 3000K IP65,5
AEM1730N,AURO BASIL 6W 3000K 100-240V IP65 NEGRO,3
AEM44/200PM,GABINETE TIPO HIMMEL 40X40X20,1
AEM730U,arbotante led 12w  3000 k de exterior,1
AES230U,AURO YEDRA 5W GU10 IP65 GRIS URBANO,2
AEU3182RCXAXB4,INT.PRO-STOCK 18C 225A 480/277V 3F,2
AEU3182RCXAXT1B4,INT.PRO-STOCK 18C 225A 480/277V 3F 4H FT,4
AEU3186RCXAXT1B4,INT 18C 3F 4H 600V 225A,3
AEU3302RCXAXB4,INT.PRO-STOCK 30C 225A 480/277V 3F,9
AEU3422RCXAXB4,INT.PRO-STOCK 42C 225A 480/277V 3F,8
AEU3422RCXAXT1B4,INT.PRO-STOCK 42C 225A 480/277V 3F 4H FT,3
AEU3424RCXAXB4,INT.PRO-STOCK 42C 400A 480/277V 3F,2
AEU3424RCXAXT1B4,INT.PRO-STOCK 42C 400A 480/277V 3F 4H FT,1
AE3027U,AURO BASMA 75W E26 IP54 GRIS URBANO,6
AE3103U,AURO KENNA 10W 3000K 100-240V IP54 GRIS,6
AE714/B,ASPIRINA ECONOMICA C R714 TERM BLANCO,6
AFP3EYD,TAPAS REPUESTO LINEA SPECTRA,17
AFP3FDD,KIT DE MONTAJE PLUG IN P/INT. F RECOR,1
AFP3SED,TAPA P/TAB.SPECTRA 2P THED SEL,47
AFP3SFD,KIT DE PLACA PARA RELLENO P/INT.SFH SFL,19
AFP3SFS,FILLER PLATE P/ SERIE SPECTRA,5
AFP4SGD,FILLER PLATE P/ SERIE SPECTRA,19
AFP4SGS,TAPAS P/SPECTRA MARCO SG SENCILLO,17
AF25S,"AF25S TAPA DE 25"" PARA TABLERO",12
AF31F,"TAPA DE 31"" PARA TABLERO",6
AF31S,"TAPA DE 31"" PARA TABLERO",17
AF37F,"TAPA DE 37"" PARA TABLERO",5
AF37S,"TAPA DE 37"" PARA TABLERO",21
AF43S,"TAPA DE 43"" PARA TABLERO",11
AF49F,"TAPA DE 49"" PARA TABLERO",5
AF49S,"TAPA DE 49"" PARA TABLERO",1
AF55S,"TAPA DE 55"" PARA TABLERO",4
AF64F,"AF64F TAPA DE 64"" PARA TABLERO",13
AF64S,"TAPA DE 64"" PARA TABLERO",21
AF76S,"TAPA DE 76"" PARA TABLERO",17
AL1000,L argollas elevación 4pz,20
AL2000,L orejas fijac.pared 2pz,18
AMCB6EBFP,KIT DOBLE BOLT-ON,5
AMCB6FJ,KIT DE MONTAJE DOBLE SILLETA SF 250,2
AMCB6FJFP,KIT DOBLE BOLT-ON P/INT.SFH SFL,2
AMCB6GBFP,KIT DOBLE BOLT-ON P/INT.SGH SGL,1
AMC3KM,KIT DE MONTAJE P/INT SKH Y SKL,10
AMC6EB,KIT DE MONTAJE DOBLE SILLETA DE 30-150 A,88
AMC6EBFP,KIT DOBLE PLUG-IN,4
AMC6EY,KIT DE MONTAJE PLUG-IN/ TEY DOBLE,4
AMC6FJ,KIT DE MONTAJE DOBLE,74
AMC6FJFP,KIT DOBLE PLUG-IN P/INT.SFH SFL,8
AMC6GB,KIT DE MONTAJE PLUG-IN P/SFH  SFL  SFP D,18
AMC6GBFP,KIT DOBLE PLUG-IN P/INT.SGH SGL,3
ANKN120,ANKN120 KIT DE BARRAS P/TIERRA 400-1200A,2
ANKN400,ANKN400 KIT DE BARRAS P/TIERRA 250-400A,1
APFT6523SFP,TAPA PARA TABLERO SPECTRA,1
AP6001,ADAPTADOR DE PROF.TMAX T1-T2-T3,23
AQF3302AB,AQF3302AB,1
AQF3426JBXAXT1B7,INT.42C 3F 4H 240V  600A,2
AQUA-20W-REFLEC,REFLECTOR SUMERGIBLE RGB DE SOBREPONER,1
AQU3182RCXAXB4,INT.PRO-STOCK 18C 225A 220/120V 3F,2
AQU3182RCXAXT1B4,INT.PRO-STOCK 18C 225A 220/120V 3F 4H FT,7
AQU3184RCXAXT1B4,INT.PRO-STOCK 18C 400A 220/120V 3F 4H FT,5
AQU3186RCXAXT1B4,INT.PRO-STOCK 18C 600A 220/120V 3F 4H FT,2
AQU3422RCXAXB4,INT.PRO-STOCK 42C 225A 220/120V 3F,2
AQU3422RCXAXT1B4,INT.PRO-STOCK 42C 225A 220/120V 3F 4H FT,1
AQU3426RCXAXB4,INT.PRO-STOCK 42C 600A 220/120V 3F,1
ARRANCADOR3H,ARRANCADOR A TENSION PLENA 3HP 220V,3
AR-111/F,REFLECTOR HALOGENO 50W 12V 24 GRADOS,69
ASPTED3P,ASPTED3P KIT DE MONTAJE P/INT.TED,42
AT31103N,AURO YERAY 10W 3000K 100-277V NEGRO,5
AT3123B,AURO UNAX 12W 3000K 100-277V CIRCULAR BL,6
AU-2,Relevador L.G 2/6A,9
AU-4 4A,Contactos Aux 15/16A,10
A19D-LEDF/001/27,FOCO MERCURI 4.5W E27 2700K,14
A19-LED/010/30,LAMP LED A19 8.5W 100-240V 3000K E27 750,3
A19-LED/010/65,FOCO LED 8.5W E27,3
A208LSG,MICRO VERSATRIP PLUS,2
A208LSGR,MICRO VERSATRIP,2
A216LSG,MICRO VERSATRIP PLUS 1600A,1
A216LSIG,MICRO VERSATRIP PLUS  MVT  PROGRA 1600 A,3
BA15D1155,FOCO 115-5W,5
BA9SN220,FOCO DE NEON 220V,1
BA9S110LB,BOMBILA LED 110V BLANCA,6
BA9S110LR,FOCO MULTILED 110V ROJO,11
BA9S110LV,FOCO MULTILED 110V VERDE,13
BA9S12L*,FOCO MULTILED 12V TRANSPARENTE,30
BA9S122,FOCO INCANDESCENTE 12V TRANSPARENTE,34
BA9S220,FOCO INCANDESCENTE 220V,41
BA9S230LR,FOCO MULTILED 230V ROJO,10
BA9S24LG,FOCO MULTILIN 24V AMARILLA,25
BA9S24LR,FOCO MULTILED 24V ROJO,11
BA9S24LV,FOCO MULTILED 24V VERDE,20
BA9S242,FOCO INCANDESCENTE 24V,123
BA9S48LB,FOCO MULTILED 48 VOLT,30
BA9S6LB,MULTI LED BLANCO 6 VOLT,20
BA9S615,FOCO INCANDESCENTE 6V,61
BA956LB,BA956LB,55
BCLF01,CONTACTOR AUXILIAR CERRADO,60
BCLF10,CONTACTO AUXILIAR N.CERRADO,2
BCLL11,BLOCK DE CONTACTOS AUXILIARES,6
BCLL20,CONTACTO AUX. LATERAL 2NA,14
BC6/N,ARBOTANTE DE MURO NEGRO CON GLOBO R6,3
BEB3603G,BEB3603G PLUG IN 30AMP 3F-3H 600V,5
BEB3603GN,PLUG IN 30AMP 3F-4H 600V,10
BEB3606G,BEB3606G PLUG IN 60AMP 3F-3H 600V,5
BEB3606GN,PLUG IN 60AMP 3F-4H 600V,9
BEB3610G,BEB3610G PLUG IN 100AMP 3F-3H 600V,1
BEB3610GN,PLUG IN 100AMP 3F-4H 600V,9
BEC3603GN,BEC3603GN PLUG IN 30AMP 3F-4H 600V,5
BEC3606GN,PLUG IN 3 PHASE 4 WIRE 600V 60 A,5
BEC3610GN,PLUG IN 100AMP 3F-4H 600V,5
BEKH,BLOQUEO MECANICO HORIZONTAL,4
BEL,BLOQUEO MECANICO P/CL05-CL10,15
BELA,BLOQUEO MECANICO CL00-CL45,4
BELA02,BLOQUEO MECANICO 2NC,1
BEL02,BLOQUE MECANICO 2NC,50
BEL3603G,PLUG IN 30AMP 3F-3H 600V,5
BEL3603GN,PLUG IN 30AMP 3F-4H 600V,10
BEL3606G,PLUG IN 60AMP 3F-3H 600V,5
BEL3606GN,PLUG IN 60AMP 3F-4H 600V,10
BEL3610G,PLUG IN 100AMP 3F-3H 600V,4
BEL3610GN,PLUG IN 100AMP 3F-4H 600V,10
BF2502,K Barra flexible 400A 2pz,10
BF4012,K Barra flexible 630A 2pz,2
BL3372FG30/AC,LUMINARIA SOLAR LED EXT 15W 5.5/DC,104
BMLF,CONTACTO AUXILIAR DE ARRANQUE,8
BP0630,K Portabarra plana 250-630A,43
BRLL11,AUXILIARY CONTACT BLOCK,6
BRLL20,BLOCK DE CONTACTO AUX. 2NA,4
BR0250,K Barra plana 250A 2pz,9
BR0400,K Barra plana 400 A 2pz,2
BR6/B,"PLAFOND C/BASE DE FIERRO GLOBO C6C/4""",1
BR6/N,"PLAFOND C/BASE DE FIERRO GLOBO C6C/4""",1
BSLDZ,SUPRESOR DE PICOS 24VCD,4
BSLR3K,TRANSIENT SUPPRESSOR,10
BSLV3G,BLOQUE ANTIPARACITORIO 24-48V,5
BTLF60C,TIMER NEUMATICO 1-60 SEG. ENCENDIDO ATRA,3
B135A,REPUESTO DE CHAPA CON LLAVE,2
B208LSIGR,MICRO VERSATRIP,1
B210LSIGR,MICRO VERSATRIP,2
B216LSI,MICRO VERSATRIP PLUS,3
B330LSIGR,CONTROL BOARD GOOD TAKEOUT,1
B440LSIG,MICRO VERSATRIP PLUS  TIPO B440,1
B440LSIGR,MICRO VERSATRIP,1
1100040,CABLE THHW 4 NEGRO 400 mt,100
CAB10025BR,CINCHO BLANCO 100mmx 2.5mm/ BOLSA 100PZ,528
CAB10025PT,CINCHO NEGRO 100mmX2.5mm /Bolsa 100PZ,457
CAB15035PT,CINCHO NEGRO 150mm x 3.5mm / Bolsa 100PZ,22
CAB25036BR,CINCHO BLANCO 250mmX3.6mm /Bolsa 100PZ,57
CAB25036PT,CINCHO NEGRO 250mm x 3.6mm/Bolsa 100PZ,58
CASCADALUZ,SERIE CASCADA BLANCO FRIO 300,2
CCDIN-04S,Tapa Sobreponer 4 Módulos,8
CEM0-0018,Cemento transparente para PVC 473ml,70
CHA-GRISPVC,Chalupa plastica gris,315
CHAPRO,CHALUPA 4X2 REFORZADA VERDE PP,9
CHOR-20,"Curva horizontal p/charola de 20"" ancho",5
CK08CA311M,CONTACTOR 3 P 185 AMP 74 HP 220VCA 1NA-1,3
CL00A301T9,CONTACTOR 9 A 48V (113982),3
CL00A310T,Contactor 9A 3polos,1
CL01A310T1,CONTACTOR 3P BOBINA 110V,14
CL01A310T3,CONTACTOR 3P BOBINA 115V,27
CL01D310TD,CONTACTOR 3P 12 AMP 4 HP 24VCD 1 NA,24
CL02AB00T9,CONTACTOR 3P 18 AMP 5.5 HP 48VCA,3
CL02A301T3,CONTACTOR 3P 110-115V 50/60 Hz,1
CL02D310TD,CONTACTOR 3P 18 AMP 5.5 HP 24VCD 1 NA,13
CL03A301M3,CONTACTOR 3P 110V,2
CL03A310M3,CONTACTOR 3P BOBINA 110V,4
CL03D310MD,CONTACTOR 3P 25A 10HP 24VCD,21
CL04A310M5,CONTACTOR 3P 32 AMP 12 HP 220VCA 1 NA,6
CL05AB00MJ,CONTACTOR 4P 40 AMP 15 HP 110VCA 1NA 1NC,6
CL05A300MJ,CONTACTOR 50A  3P  120V,1
CL06E300MD,CONTACTOR 3P 50 AMP 30 HP 24VCD,5
CL07A300M,CONTACTOR 110A 3POLE 3NO COIL 240VAC,1
CL07E300MD,CONTACTOR 3P 65 AMP 25 HP 24VCD,4
CL07E400MD,CONTACTOR 4P 65 AMP 25 HP 24VCD,3
CL08A311M3,CONTACTOR CL08A311M3,1
CL08A311M5,CONTACTOR 3P 80 AMP 30 HP 220VCA 1NA 1NC,1
CL09A311M3,CONTACTOR 3P 95 AMP 34 HP 110VCA 1NA 1NC,2
CL09A311M5,CONTACTOR 3P 95 AMP 34 HP 220VCA 1NA 1NC,3
CL10E300MD,CONTACTOR 3P  105AMP 75HP 24VCD,1
CL-1085-LED/CR,CL-1085-LED/CR,4
CL25A300T3,CONTACTOR 3P 25A BOBINA 110V,17
CL25A310T5,CONTACTOR 3P 25A 10HP 220V,1
CL-3010-LED/BL,uso interior blanco aluminio,1
CL45A311M5,CONTACTOR 3P 40AMP 15 HP 2200VCA 1NA 1NC,2
CL45D300MD,CONTACTOR 3P 40AMP 15 HP 24VCD,14
CL45D300MK,CONTACTOR 3P 40AMP 15 HP 125VCD,5
CNARAPRE1/2,ARANDELA DE PRESION GALVANIZADA DE 1/2,300
CNARAPRE1/4,ARANDELA DE PRESION GALVANIZADA 1/4,1500
CNARAPRE3/8,ARANDELA DE PRESION GALVANIZADA 3/8,550
CNARAPRE5/16,ARANDELA DE PRESION 5/16,900
CNARA3/16,ARANDELA DE PRESION GALVANIZADA 3/16,400
CNTORHEX3/8X2,TORNILLO CABEZA HEXAGONAL 3/8 X2,250
CNTORHEX3/8X3,TORNILLO CABEZA HEXAGONAL 3/8 X 3,150
CNTOR3/16X1,TORNILLO CABEZA  GOTA GALVANIZADO 3/16X1,400
CONPT-100,"CONECTOR 100MM 4"" PESADO",23
CONPT25,"CONECTOR PVC PESADO 1""",200
CONPT32,"CONECTOR PVC 1 1/4"" PESADO C/TUERCA",959
CONPT38,"CONECTOR PVC 1 1/2""PESADO C/TUERCA",282
CONPT50,"CONECTOR PVC PESADO 2""",13
CONPT64,"CONECTOR  PVC 2 1/2"" PESADO C/TUERC",69
CONPT75,"CONECTOR DEPLAYUSA 3"" PESADO C/TUERCA",27
COPD1/2,COPLE STEEL 1/2 PARED DELGADA,400
CO1214BBCA,PERFORMA PRO LED 74W 3000K 127-277V BCO,1
C-RGBW-TUYA,Control TUYA RGBW,1
CR0004,Bisagras estructura Artu L 4pzas,20
CR101Y1,ARRANCADOR MANUAL 1P 1HP 115-,1
CR104PBG00A1,Botón momentáneo GE  CR104P  30.5mm  s/t,1
CR104PBG00G1,BOTON OPERADOR,18
CR104PBG00R1,BOTON PULSADOR RASANTE ROJO SIN CONTACTO,17
CR104PBG00U1,BOTON PULSADOR RASANTE COLORES SIN CONTA,4
CR104PBM00B5,"BOTON PULSADOR HONGO NEGRO 1 3/8""",14
CR104PBM00B6,BOTON PULSADOR HONGO NEGRO 2 3/8,6
CR104PBM00E5,BOTON PULSADOR HONGO AMARILLO 1 3/8,23
CR104PBM00G5,BOTON PULSADOR HONGO VERDE 1 3/8,48
CR104PBM00R6,BOTON PULSADOR HONGO ROJO 2 3/8,20
CR104PBM10B5,"BOTON CABEZA HONGO 1 3/8"" DIAMETRO",5
CR104PBM10B6,"BOTON PULSADOR HONGO NEGRO 2 3/8""",4
CR104PBM91G5,BOTON DE ENCENDIDO,2
CR104PBM91R5,"BOTON HONGO DE 1 3/8¨"" ROJO 1NO-1NC",4
CR104PBT11G1S2,BOTON PULSADOR ILUM. VERDE TRANS. 120V 1,3
CR104PBT11M5C2,BOTON HONGO AMBAR 13/8,26
CR104PBT11R1S2,BOTON PULSADOR ILUM. ROJO TRANSF. 120V 1,3
CR104PBT11R1S3,BOTON PULSADOR ILUM. ROJO TRANSF. 240V I,5
CR104PJD53,PALANCA DE 5 POSICIONES,4
CR104PLG22G,BOTON DE ENCENDIDO,16
CR104PLG22M,LAMPARA PILOTO AMBAR 120V,10
CR104PLG22R,BOTON PILOTO ROJO,23
CR104PLG32G,LAMPARA PILOTO VERDE 120V TIPO TRANSFORM,7
CR104PLG33G,LAMPARA PILOTO VERDE 240V TIPO TRANSFORM,6
CR104PLG33M,LAMPARA PILOTO AMBAR 240V TIPO TRANSFORM,10
CR104PLG33R,LAMPARA PILOTO ROJA 240V TIPO TRANSFORMA,6
CR104PLG92E,LAMPARA PILOTO TIPO LED 120V TRANSF. AMA,3
CR104PLT32G,LAMPARA PILOTO VERDE 120V PULSAR P/PROBA,1
CR104PSG21B,SWITCH SELECTOR,12
CR104PSG21B91,SWITCH SELECTOR,7
CR104PSG34B,SWITCH SELECTOR,5
CR104PSG35B,SEL SWITCH,3
CR104PSG63B,SELECTOR 2POSIC. C/RETORNO DE DERECHA,2
CR104PSG93B91,SELECTOR GE 3 POSICIONES CON REGRESO CEN,3
CR104PSG94,SWITCH SELECTOR,3
CR104PSG94B91,SELECTOR 3POSIC. C/RETORNO DE IZQ-DER C/,10
CR104PST21M11S2,SELECTOR 2POS. AMBAR ILUM.  1NA+1NC,1
CR104PTR20A0R,BOTON HONGO GIRAR P/LIBERAR,19
CR104PXA16,ALL-VOLTAGE TRANSFORMER LAMP MIN BAYONET,39
CR104PXC01,BLOCK DE CONTACTO 1NC 30MM,6
CR104PXC01G,BLOCK,19
CR104PXC1,BLOCK DE CONTACTO 1NA 30MM,1
CR104PXC10G,BLOCK CONTACTO GE,1
CR104PXG103,TAPON PARA CUBRIR ORIFICIOS DE 30MM,46
CR104PXL01G,CAPUCHON P/LAMPARA PILOTO VERDE,8
CR104PXL01M,CAPUCHON P/LAMPARA PILOTO AMBAR,63
CR104PXL05G,CAPUCHON P/PULSADOR ILUMINADO VERDE,6
CR104PXL05R,CAPUCHON P/PULSADOR ILUMINADO ROJO,15
CR104PXL05W,CAPUCHON P/PULSADOR ILUMINADO BLANCO,23
CR104PXL06M,CAPUCHON P/PULSADOR ILUMINADO AMBAR,59
CR104PXM01B,CAPUCHON P/PULSADOR RASANTE NEGRO,17
CR104PXM01E,CAPUCHON P/PULSADOR RASANTE AMARILLO,9
CR104PXM01G,CAPUCHON P/PULSADOR RASANTE VERDE,1
CR104PXM01R,CAPUCHON P/PULSADOR RASANTE ROJO,6
CR104PXM02B,CAPUCHON P/SELECTOR NEGRO,50
CR104PXM02E,CAPUCHON P/SELECTOR AMARILLO,4
CR104PXM02G,CAPUCHON P/SELECTOR VERDE,2
CR104PXM02R,CAPUCHON P/SELECTOR ROJO,4
CR104PXM03B,CAPUCHON HONGO 1 3/8 NEGRO,20
CR104PXM03E,CAPUCHON HONGO 1 3/8 AMARILLO,14
CR104PXM03G,CAPUCHON HONGO 1 3/8 VERDE,9
CR104PXM03R,CAPUCHON HONDO 1 3/8 ROJO,95
CR104PXM06B,"CAPUCHON HONGO 2 3/8"" NEGRO",19
CR1062R2AAP2000,ARRANCADOR MANUAL M-0,3
CR1062S2AAP2000,ARRANCADOR MANUAL,4
CR1062S3AAP2000,ARRANCADOR MANUAL,2
CR1062S3AAT2000,ARRANCADOR CR-106 TAM 4 3F,2
CR115B1,INT. DE LIMITE,2
CR123C036A,ELEMENTO TERMICO,30
CR123C043A,ELEMENTO TERMICO,31
CR123C054A,ELEMENTO TERMICO,18
CR123C060A,ELEMENTO TERMICO,38
CR123C066A,ELEMENTO TERMICO,33
CR123C071A,ELEMENTO TERMICO,12
CR123C078A,ELEMENTO TERMICO,15
CR123C087A,ELEMENTO TERMICO 0.76-0.74,21
CR123C097A,ELEMENTO TERMICO,45
CR123C104B,ELEMENTO TERMICO 9.67-9.27,30
CR123C109A,ELEMENTO TERMICO .93-.92,39
CR123C113B,ELEMENTO TERMICO 10.4-10.0,44
CR123C118A,ELEMENTO TERMICO 1.04-1.02,30
CR123C125B,ELEMENTO TERMICO 11.0-10.7,8
CR123C131A,ELEMENTO TERMICO 1.15-1.10,3
CR123C137B,ELEMENTO TERMICO 12.4-12.00,48
CR123C148A,ELEMENTO TERMICO 1.27-1.23,15
CR123C151B,ELEMENTO TERMICO 13.2-12.9,17
CR123C163A,ELEMENTO TERMICO 1.39-1.38,12
CR123C163B,ELEMENTO TERMICO 15.4-15.1,9
CR123C180B,ELEMENTO TERMICO,16
CR123C184A,ELEMENTO TERMICO 1.55-1.49,16
CR123C196A,ELEMENTO TERMICO 1.73-1.67,31
CR123C198B,ELEMENTO TERMICO,4
CR123C220A,ELEMENTO TERMICO 1.89-1.79,30
CR123C228B,ELEMENTO TERMICO,53
CR123C239A,ELEMENTO TERMICO 2.05-1.98,30
CR123C250B,ELEMENTO TERMICO 22.5-22.3,20
CR123C268A,ELEMENTO TERMICO 2.28-2.24,5
CR123C273B,ELEMENTO TERMICO 23.9-23.5,32
CR123C301A,ELEMENTO TERMICO,5
CR123C303B,ELEMENTO TERMICO P/CR300 26.3,2
